to_node	from_node	metric	failure_prob
86	1	1000	0.002
1	86	1000	0.002
86	2	1000	0.002
2	86	1000	0.002
104	2	1000	0.002
2	104	1000	0.002
4	3	1000	0.002
3	4	1000	0.002
133	3	1000	0.002
3	133	1000	0.002
5	4	1000	0.002
4	5	1000	0.002
6	4	1000	0.002
4	6	1000	0.002
49	5	1000	0.002
5	49	1000	0.002
7	6	1000	0.002
6	7	1000	0.002
158	7	1000	0.002
7	158	1000	0.002
9	8	1000	0.002
8	9	1000	0.002
10	8	1000	0.002
8	10	1000	0.002
120	8	1000	0.002
8	120	1000	0.002
110	8	1000	0.002
8	110	1000	0.002
86	8	1000	0.002
8	86	1000	0.002
10	9	1000	0.002
9	10	1000	0.002
22	10	1000	0.002
10	22	1000	0.002
87	10	1000	0.002
10	87	1000	0.002
19	11	1000	0.002
11	19	1000	0.002
12	11	1000	0.002
11	12	1000	0.002
14	11	1000	0.002
11	14	1000	0.002
17	12	1000	0.002
12	17	1000	0.002
19	12	1000	0.002
12	19	1000	0.002
14	13	1000	0.002
13	14	1000	0.002
31	13	1000	0.002
13	31	1000	0.002
18	15	1000	0.002
15	18	1000	0.002
16	15	1000	0.002
15	16	1000	0.002
19	16	1000	0.002
16	19	1000	0.002
18	17	1000	0.002
17	18	1000	0.002
68	19	1000	0.002
19	68	1000	0.002
20	19	1000	0.002
19	20	1000	0.002
108	20	1000	0.002
20	108	1000	0.002
22	21	1000	0.002
21	22	1000	0.002
78	21	1000	0.002
21	78	1000	0.002
29	23	1000	0.002
23	29	1000	0.002
30	23	1000	0.002
23	30	1000	0.002
24	23	1000	0.002
23	24	1000	0.002
30	24	1000	0.002
24	30	1000	0.002
27	25	1000	0.002
25	27	1000	0.002
28	25	1000	0.002
25	28	1000	0.002
120	25	1000	0.002
25	120	1000	0.002
98	26	1000	0.002
26	98	1000	0.002
98	27	1000	0.002
27	98	1000	0.002
53	29	1000	0.002
29	53	1000	0.002
132	31	1000	0.002
31	132	1000	0.002
85	31	1000	0.002
31	85	1000	0.002
35	32	1000	0.002
32	35	1000	0.002
85	32	1000	0.002
32	85	1000	0.002
34	33	1000	0.002
33	34	1000	0.002
36	33	1000	0.002
33	36	1000	0.002
35	34	1000	0.002
34	35	1000	0.002
37	34	1000	0.002
34	37	1000	0.002
40	34	1000	0.002
34	40	1000	0.002
85	35	1000	0.002
35	85	1000	0.002
117	36	1000	0.002
36	117	1000	0.002
38	37	1000	0.002
37	38	1000	0.002
84	38	1000	0.002
38	84	1000	0.002
84	39	1000	0.002
39	84	1000	0.002
40	39	1000	0.002
39	40	1000	0.002
44	41	1000	0.002
41	44	1000	0.002
45	42	1000	0.002
42	45	1000	0.002
47	42	1000	0.002
42	47	1000	0.002
44	43	1000	0.002
43	44	1000	0.002
88	43	1000	0.002
43	88	1000	0.002
46	45	1000	0.002
45	46	1000	0.002
47	46	1000	0.002
46	47	1000	0.002
138	47	1000	0.002
47	138	1000	0.002
48	47	1000	0.002
47	48	1000	0.002
49	48	1000	0.002
48	49	1000	0.002
158	50	1000	0.002
50	158	1000	0.002
136	50	1000	0.002
50	136	1000	0.002
58	51	1000	0.002
51	58	1000	0.002
52	51	1000	0.002
51	52	1000	0.002
125	51	1000	0.002
51	125	1000	0.002
126	51	1000	0.002
51	126	1000	0.002
150	52	1000	0.002
52	150	1000	0.002
54	53	1000	0.002
53	54	1000	0.002
59	54	1000	0.002
54	59	1000	0.002
84	54	1000	0.002
54	84	1000	0.002
55	54	1000	0.002
54	55	1000	0.002
56	55	1000	0.002
55	56	1000	0.002
58	57	1000	0.002
57	58	1000	0.002
60	57	1000	0.002
57	60	1000	0.002
129	58	1000	0.002
58	129	1000	0.002
124	58	1000	0.002
58	124	1000	0.002
60	59	1000	0.002
59	60	1000	0.002
154	61	1000	0.002
61	154	1000	0.002
156	61	1000	0.002
61	156	1000	0.002
156	62	1000	0.002
62	156	1000	0.002
151	62	1000	0.002
62	151	1000	0.002
79	63	1000	0.002
63	79	1000	0.002
80	63	1000	0.002
63	80	1000	0.002
65	64	1000	0.002
64	65	1000	0.002
80	64	1000	0.002
64	80	1000	0.002
66	65	1000	0.002
65	66	1000	0.002
127	66	1000	0.002
66	127	1000	0.002
115	67	1000	0.002
67	115	1000	0.002
92	67	1000	0.002
67	92	1000	0.002
107	68	1000	0.002
68	107	1000	0.002
77	69	1000	0.002
69	77	1000	0.002
78	69	1000	0.002
69	78	1000	0.002
78	70	1000	0.002
70	78	1000	0.002
71	70	1000	0.002
70	71	1000	0.002
72	71	1000	0.002
71	72	1000	0.002
74	73	1000	0.002
73	74	1000	0.002
75	73	1000	0.002
73	75	1000	0.002
77	73	1000	0.002
73	77	1000	0.002
75	74	1000	0.002
74	75	1000	0.002
93	76	1000	0.002
76	93	1000	0.002
112	76	1000	0.002
76	112	1000	0.002
93	77	1000	0.002
77	93	1000	0.002
136	78	1000	0.002
78	136	1000	0.002
152	78	1000	0.002
